#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A963CD
#Date Time: 2022-02-24 14:41:31.894
#Sample rate: 363636Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 200 Hz
#Period: 5 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ?

Time (s),Channel 1 (V),Channel 2 (V)
-0.021497374698633807,-1.0023522186190041,-0.9885723401306701
-0.021494624698633807,-1.0016828001400826,-0.9902610003101664
-0.021491874698633805,-1.0026869278584647,-0.9926251245614641
-0.021489124698633805,-1.0020175093795431,-0.99498924881276
-0.021486374698633806,-1.0020175093795431,-0.9973533730640547
-0.021483624698633807,-1.0016828001400824,-0.9990420332435517
-0.021480874698633808,-1.0016828001400824,-1.0014061574948465
-0.021478124698633805,-1.0020175093795431,-1.0041080137820435
-0.021475374698633806,-1.002017509379543,-1.0057966739615405
-0.021472624698633806,-1.0013480909006214,-1.0074853341410368
-0.021469874698633807,-1.0023522186190037,-1.0091739943205333
-0.021467124698633808,-1.0016828001400826,-1.0108626545000303
-0.021464374698633805,-1.002352218619004,-1.0125513146795286
-0.021461624698633806,-1.0020175093795431,-1.0139022428231257
-0.021458874698633806,-1.0023522186190041,-1.0145777068949244
-0.021456124698633807,-1.0020175093795434,-1.0155909030026222
-0.021453374698633808,-1.0013480909006216,-1.0162663670744212
-0.021450624698633805,-1.0013480909006216,-1.016604099110321
-0.021447874698633806,-1.0016828001400824,-1.016604099110321
-0.021445124698633806,-1.0020175093795431,-1.0162663670744214
-0.021442374698633804,-1.0016828001400824,-1.015928635038522
-0.021439624698633808,-1.0016828001400824,-1.015590903002623
-0.021436874698633805,-1.002017509379543,-1.014577706894924
-0.021434124698633806,-1.0016828001400824,-1.0135645107872262
-0.021431374698633807,-1.0013480909006214,-1.0122135826436285
-0.021428624698633804,-1.0016828001400824,-1.0115381185718288
-0.021425874698633808,-1.0016828001400824,-1.010524922464132
-0.021423124698633805,-1.0016828001400828,-1.0084985302487344
-0.021420374698633806,-1.002686927858465,-1.006809870069238
-0.021417624698633807,-1.0020175093795431,-1.005121209889741
-0.021414874698633804,-1.0016828001400824,-1.0037702817461418
-0.021412124698633808,-1.0016828001400824,-1.002081621566648
-0.021409374698633805,-1.0020175093795434,-1.0000552293512492
-0.021406624698633806,-1.0023522186190041,-0.9987043012076523
-0.021403874698633807,-1.0020175093795431,-0.9973533730640547
-0.021401124698633804,-1.0016828001400824,-0.9956647128845567
-0.02139837469863381,-1.0016828001400824,-0.9946515167768604
-0.021395624698633806,-1.0020175093795431,-0.9936383206691608
-0.021392874698633806,-1.0020175093795431,-0.992625124561463
-0.021390124698633807,-1.002352218619004,-0.9919496604896645
-0.021387374698633804,-1.0020175093795434,-0.9912741964178651
-0.02138462469863381,-1.002352218619004,-0.9909364643819663
-0.021381874698633806,-1.0016828001400824,-0.9905987323460665
-0.021379124698633806,-1.0023522186190041,-0.9905987323460665
-0.021376374698633807,-1.0016828001400826,-0.9902610003101673
-0.021373624698633804,-1.0016828001400824,-0.9909364643819659
-0.02137087469863381,-1.0016828001400824,-0.9909364643819659
-0.021368124698633806,-1.0020175093795431,-0.9912741964178654
-0.021365374698633807,-1.0016828001400824,-0.9922873925255635
-0.021362624698633807,-1.002352218619004,-0.992962856597362
-0.021359874698633805,-1.0023522186190041,-0.9936383206691619
-0.02135712469863381,-1.0023522186190041,-0.9949892488127576
-0.021354374698633806,-1.0016828001400824,-0.9960024449204571
-0.021351624698633807,-1.0016828001400824,-0.9970156410281553
-0.021348874698633807,-1.002017509379543,-0.9987043012076515
-0.021346124698633805,-1.002352218619004,-0.9993797652794518
-0.02134337469863381,-1.001682800140083,-1.0007306934230473
-0.021340624698633806,-1.0016828001400824,-1.001743889530747
-0.021337874698633807,-1.0023522186190041,-1.0027570856384451
-0.021335124698633808,-1.0023522186190041,-1.0041080137820422
-0.021332374698633805,-1.0020175093795431,-1.0047834778538423
-0.021329624698633805,-1.0020175093795431,-1.0061344059974395
-0.021326874698633806,-1.0020175093795431,-1.0064721380333386
-0.021324124698633807,-1.0020175093795431,-1.0074853341410364
-0.021321374698633808,-1.0026869278584647,-1.0084985302487346
-0.021318624698633805,-1.0023522186190044,-1.0088362622846347
-0.021315874698633806,-1.002686927858465,-1.0095117263564335
-0.021313124698633806,-1.002686927858465,-1.0098494583923328
-0.021310374698633807,-1.0030216370979257,-1.0098494583923328
-0.021307624698633808,-1.0026869278584651,-1.0098494583923328
-0.021304874698633805,-1.0020175093795434,-1.0095117263564333
-0.021302124698633806,-1.002686927858465,-1.0095117263564333
-0.021299374698633806,-1.0020175093795431,-1.0095117263564333
-0.021296624698633804,-1.0023522186190041,-1.0088362622846343
-0.021293874698633808,-1.0023522186190041,-1.0084985302487353
-0.021291124698633805,-1.0026869278584647,-1.0074853341410366
-0.021288374698633806,-1.0023522186190041,-1.006809870069238
-0.021285624698633807,-1.0023522186190041,-1.0064721380333386
-0.021282874698633804,-1.002352218619004,-1.0054589419256397
-0.021280124698633808,-1.0020175093795434,-1.0047834778538418
-0.021277374698633805,-1.002686927858465,-1.0037702817461431
-0.021274624698633806,-1.002686927858465,-1.0030948176743446
-0.021271874698633807,-1.0020175093795431,-1.0024193536025459
-0.021269124698633804,-1.0020175093795434,-1.001406157494847
-0.021266374698633808,-1.002352218619004,-1.0007306934230493
-0.021263624698633805,-1.0023522186190044,-0.9997174973153504
-0.021260874698633806,-1.003021637097926,-0.9993797652794512
-0.021258124698633807,-1.002686927858465,-0.9983665691717529
-0.021255374698633804,-1.002017509379544,-0.9976911050999537
-0.021252624698633808,-1.003021637097925,-0.997353373064055
-0.021249874698633806,-1.0026869278584647,-0.9973533730640544
-0.021247124698633806,-1.0023522186190041,-0.9966779089922558
-0.021244374698633807,-1.0013480909006218,-0.9963401769563566
-0.021241624698633804,-1.0030216370979252,-0.9956647128845576
-0.02123887469863381,-1.0023522186190048,-0.9956647128845576
-0.021236124698633806,-1.0023522186190041,-0.9963401769563565
-0.021233374698633806,-1.0020175093795431,-0.9956647128845576
-0.021230624698633807,-1.002352218619004,-0.996002444920457
-0.021227874698633804,-1.0023522186190035,-0.9966779089922562
-0.02122512469863381,-1.001682800140083,-0.997015641028155
-0.021222374698633806,-1.0016828001400824,-0.9973533730640547
-0.021219624698633806,-1.0020175093795431,-0.9980288371358534
-0.021216874698633807,-1.0020175093795431,-0.9983665691717528
-0.021214124698633804,-1.0020175093795431,-0.9987043012076527
-0.02121137469863381,-1.0020175093795431,-0.9997174973153496
-0.021208624698633806,-1.0023522186190041,-1.00005522935125
-0.021205874698633807,-1.0023522186190041,-1.0007306934230487
-0.021203124698633807,-1.0023522186190041,-1.001068425458948
